Role,Company,Category,Years' Experience,City,Country,Gender,Currency,Salary,Mode,Period,Non-cash Compensation,Verified Salary Slip
Backend Engineer,Purchase to unlock 👆,Other / Unknown,0,Yogyakarta,ID,Prefer not to tell,IDR,5000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Male,IDR,7000000,Gross,Monthly,,
Backend Engineer,Purchase to unlock 👆,Car Marketplace,6,Surabaya,ID,Prefer not to tell,IDR,13000000,Gross,Monthly,,
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,6500000,Net,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,1,Depok,ID,Male,IDR,6500000,Gross,Monthly,,
UI Designer,Purchase to unlock 👆,Other / Unknown,20,Jakarta,ID,Prefer not to tell,IDR,25000000,Gross,Monthly,,
UI Designer,Purchase to unlock 👆,Other / Unknown,20,Jakarta,ID,Prefer not to tell,IDR,25000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,11000000,Net,Monthly,Blipay 500k,Verified
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Prefer not to tell,IDR,5500000,Gross,Monthly,,Verified
Backend Engineer,Purchase to unlock 👆,Other / Unknown,1,Yogyakarta,ID,Prefer not to tell,IDR,7000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,1,Banten,ID,Male,IDR,4000000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,12300000,Net,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,3,Yogyakarta,ID,Male,IDR,14000000,Net,Monthly,Medical insurance,
Software Engineer,Purchase to unlock 👆,Other / Unknown,1,Bogor,ID,Male,IDR,19000000,Gross,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,2,Bekasi,ID,Male,IDR,6000000,Net,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Male,IDR,7000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,1,Bekasi,ID,Male,IDR,8000000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,1,Semarang,ID,Male,IDR,4300000,Gross,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,1,Yogyakarta,ID,Prefer not to tell,IDR,2500000,Gross,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,10700000,Gross,Monthly,"BPJS Kesehatan, BPJS Ketenagakerjaan",
Backend Engineer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,9000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Wallet Startup,0,Jakarta,ID,Male,IDR,12000000,Gross,Monthly,total salary include DANA Balance,Verified
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,1,Tangerang,ID,Prefer not to tell,IDR,10300000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,3,Surabaya,ID,Male,IDR,10000000,Gross,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,3000000,Gross,Monthly,reimbusment for overtime,
Data Engineer,Purchase to unlock 👆,Other / Unknown,3,Banten,ID,Male,IDR,15180000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,10500000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,5,Bandung,ID,Male,IDR,6000000,Net,Monthly,BPJS TK,
Software Engineer,Purchase to unlock 👆,Other / Unknown,0,Yogyakarta,ID,Male,IDR,7000000,Gross,Monthly,,Verified
Android Developer,Purchase to unlock 👆,Other / Unknown,2,Yogyakarta,ID,Male,IDR,10100000,Net,Monthly,,Verified
Software Engineer,Tokopedia,Other / Unknown,1,Yogyakarta,ID,Prefer not to tell,IDR,7000000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,8800000,Gross,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,1,Semarang,ID,Prefer not to tell,IDR,4500000,Net,Monthly,,
UI Designer,Purchase to unlock 👆,Other / Unknown,1,Banten,ID,Male,IDR,3000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,2,Semarang,ID,Male,IDR,7500000,Net,Monthly,,
Quality Assurance,Purchase to unlock 👆,Other / Unknown,0,Banten,ID,Male,IDR,4000000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Software House,2,Semarang,ID,Male,IDR,7500000,Net,Monthly,,
IT Support,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Prefer not to tell,IDR,5000000,Net,Monthly,1x Bonus,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,12223500,Gross,Monthly,"Mcbook Pro 2019, Gym member, BPJS, Peformance Bonus (2x), THR(1x), Full WFH, Health Insurance",
Backend Engineer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,12223500,Gross,Monthly,"Mcbook Pro 2019, Gym member, BPJS, Peformance Bonus (2x), THR(1x), Full WFH, Health Insurance",
Backend Engineer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,12223500,Gross,Monthly,"Mcbook Pro 2019, Gym member, BPJS, Peformance Bonus (2x), THR(1x), Full WFH, Health Insurance",Verified
Project Manager,Purchase to unlock 👆,Other / Unknown,1,Yogyakarta,ID,Male,IDR,18000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,4,Banten,ID,Male,IDR,4700000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,2,Tangerang,ID,Male,IDR,6000000,Net,Monthly,"BPJS Kesehatan, Manulife Private Insurance",
Android Developer,Purchase to unlock 👆,Other / Unknown,2,Tangerang,ID,Male,IDR,6000000,Net,Monthly,"BPJS Kesehatan, Manulife Private Insurance",
Data Scientist,Purchase to unlock 👆,Other / Unknown,0,Bandung,ID,Prefer not to tell,IDR,1650000,Net,Monthly,,
Tester,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Male,IDR,10000000,Net,Monthly,Medical Coverage - Rawat inap Up to 800.000 / hari (Anak + Pasangan) - Maternity Allowance Up to 13 jt - Medicine reimbursement - Glasses Reimbursement,
Android Developer,Purchase to unlock 👆,Other / Unknown,0,Banten,ID,Male,IDR,3000000,Net,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,1,Surabaya,ID,Prefer not to tell,IDR,4000000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,14000000,Gross,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,6,Semarang,ID,Male,IDR,42500000,Net,Monthly,"Asuransi, THR",Verified
Android Developer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,6000000,Net,Monthly,,Verified
Android Developer,Purchase to unlock 👆,Other / Unknown,1,Yogyakarta,ID,Male,IDR,5000000,Gross,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,24500000,Gross,Monthly,RSU 11k USD/4yrs,
Software Engineer,Purchase to unlock 👆,Other / Unknown,10,Jakarta,ID,Prefer not to tell,IDR,36000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,10,Jakarta,ID,Prefer not to tell,IDR,36000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Media,0,Surabaya,ID,Prefer not to tell,IDR,5250000,Gross,Monthly,"Free lunch, Health Insurance",
Software Engineer,Purchase to unlock 👆,Other / Unknown,2,Bandung,ID,Male,IDR,7000000,Net,Monthly,,
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,10610000,Gross,Monthly,,Verified
Android Developer,Gojek,Other / Unknown,1,Bandung,ID,Male,IDR,1000000,Gross,Monthly,,
Fullstack Developer,Tokopedia,Other / Unknown,3,Jakarta,ID,Prefer not to tell,IDR,49000000,Gross,Monthly,"Stock Option, Gopay 2000 K, Marriage Allowance, Full Coverage Private Insurance for Inpatient & Outpatient (1 wife and 2 children), Marriage Allowance",Verified
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Prefer not to tell,IDR,49000000,Gross,Monthly,"Stock Option, Gopay 2000 K, Marriage Allowance, Full Coverage Private Insurance for Inpatient & Outpatient",
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,2,Semarang,ID,Male,IDR,2500000,Gross,Monthly,None,
Software Engineer,Purchase to unlock 👆,Other / Unknown,4,Bogor,ID,Male,IDR,25000000,Net,Monthly,Stock options,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Male,IDR,5750000,Net,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,5,Tangerang,ID,Prefer not to tell,IDR,4700000,Net,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,1,Yogyakarta,ID,Male,IDR,6290000,Net,Monthly,BPJS Kes & TK,
Project Manager,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Male,IDR,9000000,Net,Monthly,"Native Token,Insurance,THR",
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,0,Bogor,ID,Male,IDR,6000000,Gross,Monthly,,
Quality Assurance,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,12900000,Net,Monthly,"Private insurance, BPJS, Jamsostek, Parking allowance, sport allowance, annual leave.",
Frontend Engineer,Bukalapak,Other / Unknown,4,Bandung,ID,Male,IDR,20000000,Net,Monthly,,
Data Analyst,Purchase to unlock 👆,Software House,3,Jakarta,ID,Prefer not to tell,IDR,16500000,Gross,Monthly,,
IT Support,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Male,IDR,3000000,Net,Monthly,,
IT Support,Gojek,Other / Unknown,2,Jakarta,ID,Male,IDR,12320000,Gross,Monthly,Family Insurance,
Software Engineer,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Male,IDR,4000000,Net,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,5,Bekasi,ID,Male,IDR,17000000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,5,Bekasi,ID,Male,IDR,17000000,Gross,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,0,Yogyakarta,ID,Male,IDR,4000000,Net,Monthly,"Free lunch, plus religious holiday allowance",
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Prefer not to tell,IDR,13000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Prefer not to tell,IDR,16600000,Net,Monthly,"Medical Insurance, eVoucher,",
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Prefer not to tell,IDR,9500000,Gross,Monthly,Medical insurance,
Data Engineer,Purchase to unlock 👆,Other / Unknown,2,Semarang,ID,Male,IDR,5736000,Net,Monthly,,
Data Engineer,Purchase to unlock 👆,Conglomeracy Group,4,Depok,ID,Male,IDR,25000000,Net,Monthly,"Catering, Free Parking, Private Insurance",
Data Analyst,Purchase to unlock 👆,Other / Unknown,9,Jakarta,ID,Prefer not to tell,IDR,23000000,Gross,Monthly,"Health insurance, Bonus, THR, Quarterly Incentive",
UX Writer,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Prefer not to tell,IDR,20000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Prefer not to tell,IDR,23000000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,Car Marketplace,2,Semarang,ID,Prefer not to tell,IDR,12000000,Gross,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,6500000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Prefer not to tell,IDR,29800000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,0,Banten,ID,Male,IDR,3000000,Gross,Monthly,0,
Data Engineer,Purchase to unlock 👆,Other / Unknown,0,Bandung,ID,Prefer not to tell,IDR,6000000,Gross,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Male,IDR,6500000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,2,Bekasi,ID,Male,IDR,7000000,Gross,Monthly,"Tunjangan Transportasi 297,000. Tunjangan Kehadiran 97,000. Tunjangan Skill 1,000,000. Lembur dibayar. Asuransi Kesehatan diluar BPJS Kesehatan, jika limit habis maka akan direimburse perusahaan 90%. Ada bus jemputan untuk pergi dan pulang. Makan siang di pabrik gratis.",Verified
Data Engineer,Purchase to unlock 👆,Other / Unknown,1,Bandung,ID,Prefer not to tell,IDR,10500000,Gross,Monthly,BPJS,
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Male,IDR,8000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,SaaS,3,Bogor,ID,Male,IDR,17400000,Gross,Monthly,"Yearly Benefit 7.000.000 include insurance, gyms, bill and internet. Daily allowance 40.000",
Software Engineer,Purchase to unlock 👆,Other / Unknown,6,Tangerang,ID,Male,IDR,1500000,Gross,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,2,Surabaya,ID,Male,IDR,12000000,Gross,Monthly,"Insurance, work from anywhere",
Backend Engineer,Purchase to unlock 👆,Other / Unknown,2,Bekasi,ID,Male,IDR,8000000,Net,Monthly,,Verified
Android Developer,Purchase to unlock 👆,Other / Unknown,10,Jakarta,ID,Male,IDR,11000000,Net,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,0,Banten,ID,Male,IDR,3000000,Net,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,2,Bandung,ID,Male,IDR,8500000,Net,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,0,Yogyakarta,ID,Male,IDR,3500000,Gross,Monthly,,
Data Analyst,Purchase to unlock 👆,Bank,5,Jakarta,ID,Male,IDR,21000000,Net,Monthly,,
Data Engineer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Prefer not to tell,IDR,15000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Male,IDR,19200000,Net,Monthly,Stock Options 5000$ vest over 4 years with a 1 year cliff,
Software Engineer,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Male,IDR,5000000,Net,Monthly,Free lunch if attend to the office,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Prefer not to tell,IDR,5500000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Prefer not to tell,IDR,5000000,Net,Monthly,,
Backend Engineer,Traveloka,Other / Unknown,0,Jakarta,ID,Prefer not to tell,IDR,7000000,Net,Monthly,Laptop,
UX Writer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,8600000,Net,Monthly,"Insurance, Transport Allowance, BPJS KS + KT",
UX Writer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,8600000,Net,Monthly,"Insurance, Transport Allowance, BPJS KS + KT",
Backend Engineer,Purchase to unlock 👆,Other / Unknown,2,Bekasi,ID,Male,IDR,8000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Prefer not to tell,IDR,8000000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Male,IDR,26000000,Net,Monthly,"Bonus, insurance, Reimbursement",
Quality Assurance,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Prefer not to tell,IDR,7000000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,4,Banten,ID,Male,IDR,10000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Wallet Startup,1,Semarang,ID,Female,IDR,12900000,Gross,Monthly,"BPJS, Insurance, Medical-Glasses",
Project Manager,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Female,IDR,12200000,Net,Monthly,,Verified
Software Engineer,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Prefer not to tell,IDR,19000000,Gross,Monthly,RSU USD5000,
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,9,Jakarta,ID,Male,IDR,13000000,Gross,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,10,Tangerang,ID,Male,IDR,20000000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,10,Tangerang,ID,Male,IDR,20000000,Net,Monthly,,
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,6,Tangerang,ID,Male,IDR,14000000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,4,Tangerang,ID,Male,IDR,12000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,8,Jakarta,ID,Male,IDR,16000000,Net,Monthly,,
Tester,Purchase to unlock 👆,University,0,Bandung,ID,Female,IDR,4000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,26000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,26000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,26000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,26000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,26000000,Net,Monthly,,
Software Engineer,Shopee,Other / Unknown,2,Jakarta,ID,Male,IDR,21500000,Gross,Monthly,meal benefit and transportation benefit,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,5,Surabaya,ID,Male,IDR,2800000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Male,IDR,8500000,Net,Monthly,"15 Days off, Health insurance from AstraLife (for Eyeglass and Tooth)",Verified
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,5,Banten,ID,Male,IDR,20000000,Gross,Monthly,,
UX Writer,Purchase to unlock 👆,Other / Unknown,0,Semarang,ID,Male,IDR,3500000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,2,Yogyakarta,ID,Prefer not to tell,IDR,21000000,Net,Monthly,Annual Bonus: 1x salary,Verified
Software Engineer,Tokopedia,Other / Unknown,1,Banten,ID,Prefer not to tell,IDR,1200000,Net,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Prefer not to tell,IDR,2400000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Male,IDR,11450000,Gross,Monthly,,
UI Designer,Purchase to unlock 👆,Other / Unknown,15,Bogor,ID,Male,IDR,34000000,Net,Monthly,,
Data Engineer,Purchase to unlock 👆,Car Marketplace,4,Banten,ID,Prefer not to tell,IDR,19000000,Gross,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Male,IDR,35000000,Net,Monthly,Health Insurance Employee loan,
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,1,Bekasi,ID,Male,IDR,5000000,Gross,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Bank,1,Jakarta,ID,Male,IDR,6200000,Net,Monthly,Include Transportation Compensation,
Android Developer,Purchase to unlock 👆,Other / Unknown,3,Banten,ID,Male,IDR,5000000,Net,Monthly,,
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,3,Surabaya,ID,Prefer not to tell,IDR,18000000,Gross,Monthly,"BPJS, private Insurance",
Backend Engineer,tiket.com,Other / Unknown,1,Surabaya,ID,Male,IDR,3000000,Net,Monthly,"(Macbook Pro 2018, COVID Test Reimburse)",
Backend Engineer,Purchase to unlock 👆,Other / Unknown,1,Depok,ID,Male,IDR,10100000,Gross,Monthly,,Verified
Backend Engineer,Purchase to unlock 👆,SaaS,2,Yogyakarta,ID,Male,IDR,11500000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,22500000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Male,IDR,13999998,Net,Monthly,Insurance,
Software Engineer,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Male,IDR,9350000,Net,Monthly,,Verified
Data Scientist,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Male,IDR,6000000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,6,Tangerang,ID,Female,IDR,12000000,Gross,Monthly,,
Backend Engineer,Purchase to unlock 👆,P2P Lending,1,Surabaya,ID,Prefer not to tell,IDR,6000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,10,Yogyakarta,ID,Male,IDR,33650000,Gross,Monthly,Health insurance for family,Verified
Software Engineer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,23000000,Gross,Monthly,"THR, 18 annual PTO, ESOP",
Android Developer,Purchase to unlock 👆,Other / Unknown,7,Bekasi,ID,Male,IDR,12500000,Net,Monthly,,
Project Manager,Traveloka,Other / Unknown,4,Jakarta,ID,Prefer not to tell,IDR,35999999,Net,Monthly,RSU Insurance,
Software Engineer,Purchase to unlock 👆,P2P Lending,1,Jakarta,ID,Prefer not to tell,IDR,8000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,18000000,Net,Monthly,"Pulsa Smartfren 250.000, Reimbursement Health, 14x Gaji setahun, BPJS",
